numbers,item,read,days
1,1,Притчи 1,01.01-04.01
1,2,Притчи 2,01.01-04.01
2,1,Притчи 1,05.01-11.01
2,2,Притчи 2,05.01-11.01
3,1,Притчи 3,12.01-18.01
4,1,Притчи 4,19.01-25.01
4,2,Притчи 5,19.01-25.01
5,1,Притчи 6,26.01-01.02
5,2,Притчи 7,26.01-01.02
6,1,Притчи 8,02.02-08.02
7,1,Притчи 9,09.02-15.02
8,1,Притчи 10,16.02-22.02
8,2,Притчи 11,16.02-22.02
9,1,Притчи 12,23.02-01.03
9,2,Притчи 13,23.02-01.03
10,1,Притчи 14,02.03-08.03
10,2,Притчи 15,02.03-08.03
11,1,Притчи 16,09.03-15.03
11,2,Притчи 17,09.03-15.03
12,1,Притчи 18,16.03-22.03
12,2,Притчи 19,16.03-22.03
13,1,Притчи 20,23.03-29.03
13,2,Притчи 21,23.03-29.03
14,1,Притчи 22,30.03-05.04
14,2,Притчи 23,30.03-05.04
15,1,Притчи 24,06.04-12.04
15,2,Притчи 25,06.04-12.04
16,1,Притчи 26,13.04-19.04
16,2,Притчи 27,13.04-19.04
17,1,Притчи 28,20.04-26.04
17,2,Притчи 29,20.04-26.04
18,1,Притчи 30,27.04-03.05
19,1,Притчи 31,04.05-10.05
20,1,Притчи 1,11.05-17.05
20,2,Притчи 2,11.05-17.05
21,1,Притчи 3,18.05-24.05
22,1,Притчи 4,25.05-31.05
22,2,Притчи 5,25.05-31.05
23,1,Притчи 6,01.06-07.06
23,2,Притчи 7,01.06-07.06
24,1,Притчи 8,08.06-14.06
25,1,Притчи 9,15.06-21.06
26,1,Притчи 10,22.06-28.06
26,2,Притчи 11,22.06-28.06
27,1,Притчи 12,29.06-05.07
27,2,Притчи 13,29.06-05.07
28,1,Притчи 14,06.07-12.07
28,2,Притчи 15,06.07-12.07
29,1,Притчи 16,13.07-19.07
29,2,Притчи 17,13.07-19.07
30,1,Притчи 18,20.07-26.07
30,2,Притчи 19,20.07-26.07
31,1,Притчи 20,27.07-02.08
31,2,Притчи 21,27.07-02.08
32,1,Притчи 22,03.08-09.08
32,2,Притчи 23,03.08-09.08
33,1,Притчи 24,10.08-16.08
33,2,Притчи 25,10.08-16.08
34,1,Притчи 26,17.08-23.08
34,2,Притчи 27,17.08-23.08
35,1,Притчи 28,24.08-30.08
35,2,Притчи 29,24.08-30.08
36,1,Притчи 30,31.08-06.09
37,1,Притчи 31,07.09-13.09
38,1,Притчи 1,14.09-20.09
38,2,Притчи 2,14.09-20.09
39,1,Притчи 3,21.09-27.09
40,1,Притчи 4,28.09-04.10
40,2,Притчи 5,28.09-04.10
41,1,Притчи 6,05.10-11.10
41,2,Притчи 7,05.10-11.10
42,1,Притчи 8,12.10-18.10
43,1,Притчи 9,19.10-25.10
44,1,Притчи 10,26.10-01.11
44,2,Притчи 11,26.10-01.11
45,1,Притчи 12,02.11-08.11
45,2,Притчи 13,02.11-08.11
46,1,Притчи 14,09.11-15.11
46,2,Притчи 15,09.11-15.11
47,1,Притчи 16,16.11-22.11
47,2,Притчи 17,16.11-22.11
48,1,Притчи 18,23.11-29.11
48,2,Притчи 19,23.11-29.11
49,1,Притчи 20,30.11-06.12
49,2,Притчи 21,30.11-06.12
50,1,Притчи 22,07.12-13.12
50,2,Притчи 23,07.12-13.12
51,1,Притчи 24,14.12-20.12
51,2,Притчи 25,14.12-20.12
51,3,Притчи 26,14.12-20.12
52,1,Притчи 27,21.12-27.12
52,2,Притчи 28,21.12-27.12
52,3,Притчи 29,21.12-27.12
53,1,Притчи 30,28.12-03.01
53,2,Притчи 31,28.12-03.01
