numbers;item;read;;
1;1;Притчи 1;;
1;2;Притчи 2;;
2;1;Притчи 3;;
3;1;Притчи 4;;
3;2;Притчи 5;;
4;1;Притчи 6;;
4;2;Притчи 7;;
5;1;Притчи 8;;
6;1;Притчи 9;;
7;1;Притчи 10;;
7;2;Притчи 11;;
8;1;Притчи 12;;
8;2;Притчи 13;;
9;1;Притчи 14;;
9;2;Притчи 15;;
10;1;Притчи 16;;
10;2;Притчи 17;;
11;1;Притчи 18;;
11;2;Притчи 19;;
12;1;Притчи 20;;
12;2;Притчи 21;;
13;1;Притчи 22;;
13;2;Притчи 23;;
14;1;Притчи 24;;
14;2;Притчи 25;;
15;1;Притчи 26;;
15;2;Притчи 27;;
16;1;Притчи 28;;
16;2;Притчи 29;;
17;1;Притчи 30;;
18;1;Притчи 31;;
19;1;Притчи 1;;
19;2;Притчи 2;;
20;1;Притчи 3;;
21;1;Притчи 4;;
21;2;Притчи 5;;
22;1;Притчи 6;;
22;2;Притчи 7;;
23;1;Притчи 8;;
24;1;Притчи 9;;
25;1;Притчи 10;;
25;2;Притчи 11;;
26;1;Притчи 12;;
26;2;Притчи 13;;
27;1;Притчи 14;;
27;2;Притчи 15;;
28;1;Притчи 16;;
28;2;Притчи 17;;
29;1;Притчи 18;;
29;2;Притчи 19;;
30;1;Притчи 20;;
30;2;Притчи 21;;
31;1;Притчи 22;;
31;2;Притчи 23;;
32;1;Притчи 24;;
32;2;Притчи 25;;
33;1;Притчи 26;;
33;2;Притчи 27;;
34;1;Притчи 28;;
34;2;Притчи 29;;
35;1;Притчи 30;;
36;1;Притчи 31;;
37;1;Притчи 1;;
37;2;Притчи 2;;
38;1;Притчи 3;;
39;1;Притчи 4;;
39;2;Притчи 5;;
40;1;Притчи 6;;
40;2;Притчи 7;;
41;1;Притчи 8;;
42;1;Притчи 9;;
43;1;Притчи 10;;
43;2;Притчи 11;;
44;1;Притчи 12;;
44;2;Притчи 13;;
45;1;Притчи 14;;
45;2;Притчи 15;;
46;1;Притчи 16;;
46;2;Притчи 17;;
47;1;Притчи 18;;
47;2;Притчи 19;;
48;1;Притчи 20;;
48;2;Притчи 21;;
49;1;Притчи 22;;
49;2;Притчи 23;;
50;1;Притчи 24;;
50;2;Притчи 25;;
50;3;Притчи 26;;
51;1;Притчи 27;;
51;2;Притчи 28;;
51;3;Притчи 29;;
52;1;Притчи 30;;
52;2;Притчи 31;;
