Number;Items
1;От Матфея 1, От Матфея 2, От Матфея 3
2;От Матфея 4, От Матфея 5
3;От Матфея 6, От Матфея 7
4;От Матфея 8, От Матфея 9
5;От Матфея 10, От Матфея 11
6;От Матфея 12, Псалом 1, Псалом 2
7;От Матфея 13, Псалом 3, Псалом 4
8;От Матфея 14, От Матфея 15
9;От Матфея 16, От Матфея 17, От Матфея 18
10;От Матфея 19, От Матфея 20
11;От Матфея 21, Псалом 6, Псалом 7
12;От Матфея 22, От Матфея 23
13;От Матфея 24, Псалом 8
14;От Матфея 25, Псалом 9
15;От Матфея 26
16;От Матфея 27, От Матфея 28
17;Бытие 1, Бытие 2, Бытие 3
18;Бытие 4, Бытие 5, Бытие 6
19;Бытие 7, Бытие 8, Бытие 9
20;Бытие 10, Бытие 11
21;Бытие 12, Бытие 13, Бытие 14
22;Бытие 15, Бытие 16, Бытие 17
23;Бытие 18, Бытие 19
24;Бытие 20, Бытие 21
25;Бытие 22, Бытие 23, Псалом 10, Псалом 11
26;Бытие 23
27;Бытие 25, Бытие 26
28;Бытие 27, Бытие 28
29;Бытие 29, Бытие 30
30;Бытие 31
31;Бытие 32, Бытие 33
32;Бытие 34, Бытие 35
33;Бытие 36, Бытие 37
34;Бытие 38, Бытие 39, Бытие 40
35;Бытие 41, Псалом 13, Псалом 14
36;Бытие 42, Бытие 43
37;Бытие 44, Бытие 45
38;Бытие 46, Бытие 47
39;Бытие 48, Бытие 49, Бытие 50
40;Иакова 1, Иакова 2, Иакова 3, Псалом 15
41;Иакова 4, Иакова 5, Псалом 16
42;Псалом 17
43;Исход 1, Исход 2, Исход 3
44;Исход 4, Исход 5
45;Исход 6, Исход 7
46;Исход 8, Псалом 18
47;Исход 9, Исход 10
48;Исход 11, Исход 12
49;Исход 13, Исход 14
50;Исход 15, Исход 16
51;Исход 17, Исход 18, Исход 19
52;Исход 20, Исход 21
53;Исход 22, Исход 23
54;Исход 24, Исход 25
55;Исход 26, Исход 27
56;Исход 28, Псалом 19
57;Исход 29, Псалом 20
58;Исход 30, Исход 31
59;Исход 32, Исход 33
60;Исход 34, Исход 35
61;Исход 36, Исход 37
62;Исход 38, Псалом 21
63;Исход 39, Псалом 22, Псалом 23
64;Исход 40, Псалом 24
65;1-е Петра 1, 1-е Петра 2, 1-е Петра 3
66;1-е Петра 4, 1-е Петра 5, Псалом 25
67;2-е Петра 1, 2-е Петра 2, 2-е Петра 3
68;Второзаконие 1, Псалом 26
69;Второзаконие 2, Псалом 27, Псалом 28
70;Второзаконие 3, Второзаконие 4
71;Второзаконие 5, Второзаконие 6
72;Второзаконие 7, Второзаконие 8, Псалом 29
73;Второзаконие 9, Второзаконие 10
74;Второзаконие 11, Второзаконие 12
75;Второзаконие 13, Второзаконие 14, Второзаконие 15
76;Второзаконие 16, Второзаконие 17, Второзаконие 18
77;Второзаконие 19, Второзаконие 20, Второзаконие 21
78;Второзаконие 22, Второзаконие 23, Второзаконие 24
79;Второзаконие 25, Второзаконие 26, Второзаконие 27
80;Второзаконие 28
81;Второзаконие 29, Второзаконие 30
82;Второзаконие 31, Псалом 30
83;Второзаконие 32, Псалом 31
84;Второзаконие 33, Второзаконие 34, Псалом 32
85;1-е Иоанна 1, 1-е Иоанна 2, 1-е Иоанна 3
86;1-е Иоанна 4, 1-е Иоанна 5, Псалом 33
87;2-е Иоанна 1, 3-е Иоанна 1, Псалом 34, Псалом 35
88;Иуды 1, Псалом 36
89;Иисус Навин 1, Иисус Навин 2, Псалом 37
90;Иисус Навин 3, Иисус Навин 4, Псалом 38
91;Иисус Навин 5, Иисус Навин 6, Иисус Навин 7
92;Иисус Навин 8, Иисус Навин 9
93;Иисус Навин 10, Иисус Навин 11
94;Иисус Навин 12, Иисус Навин 13, Иисус Навин 14
95;Иисус Навин 15
96;Иисус Навин 16, Иисус Навин 17, Иисус Навин 18
97;Иисус Навин 19, Иисус Навин 20
98;Иисус Навин 21, Псалом 39
99;Иисус Навин 22, Псалом 40, Псалом 41
100;Иисус Навин 23, Иисус Навин 24, Псалом 42
101;Римлянам 1, Римлянам 2
102;Римлянам 3, Римлянам 4
103;Римлянам 5, Псалом 43, Псалом 44
104;Римлянам 6, Римлянам 7
105;Римлянам 8, Римлянам 9
106;Римлянам 10, Римлянам 11, Псалом 45
107;Римлянам 12, Римлянам 13, Римлянам 14
108;Римлянам 15, Римлянам 16, Псалом 46
109;1-е Коринфянам 1, 1-е Коринфянам 2, 1-е Коринфянам 3
110;1-е Коринфянам 4, 1-е Коринфянам 5, 1-е Коринфянам 6
111;1-е Коринфянам 7, 1-е Коринфянам 8
112;1-е Коринфянам 9, 1-е Коринфянам 10
113;1-е Коринфянам 11, 1-е Коринфянам 12
114;1-е Коринфянам 13, 1-е Коринфянам 14, Псалом 47
115;1-е Коринфянам 15
116;1-е Коринфянам 16, Псалом 48
117;2-е Коринфянам 1, 2-е Коринфянам 2, 2-е Коринфянам 3
118;2-е Коринфянам 4, 2-е Коринфянам 5, 2-е Коринфянам 6
119;2-е Коринфянам 7, 2-е Коринфянам 8, 2-е Коринфянам 9
120;2-е Коринфянам 10, 2-е Коринфянам 11
121;2-е Коринфянам 12, 2-е Коринфянам 13, Псалом 49
122;Судьи 1, Судьи 2
123;Судьи 3, Судьи 4
124;Судьи 5, Судьи 6
125;Судьи 7, Судьи 8
126;Судьи 9
127;Судьи 10, Судьи 11
128;Судьи 12, Судьи 13, Псалом 50
129;Судьи 14, Судьи 15, Псалом 51, Псалом 52
130;Судьи 16, Судьи 17, Псалом 53
131;Судьи 18, Судьи 19
132;Судьи 20, Судьи 21
133;От Иоанна 1
134;От Иоанна 2, От Иоанна 3
135;От Иоанна 4
136;От Иоанна 5, Псалом 54
137;От Иоанна 6
138;От Иоанна 7, Псалом 55
139;От Иоанна 8, Псалом 56
140;От Иоанна 9, Псалом 57
141;От Иоанна 10, Псалом 58
142;От Иоанна 11, Псалом 59
143;От Иоанна 12, От Иоанна 13
144;От Иоанна 14, От Иоанна 15
145;От Иоанна 16, От Иоанна 17
146;От Иоанна 18, От Иоанна 19, Псалом 60, Псалом 61
147;От Иоанна 20, Псалом 62, Псалом 63
148;От Иоанна 21
149;Руфь 1, Руфь 2, Руфь 3, Руфь 4
150;Галатам 1, Галатам 2, Галатам 3
151;Галатам 4, Галатам 5, Галатам 6
152;Ефесянам 1, Ефесянам 2, Псалом 64
153;Ефесянам 3, Ефесянам 4, Псалом 65
154;Ефесянам 5, Ефесянам 6
155;Филиппийцам 1, Филиппийцам 2, Псалом 66
156;Филиппийцам 3, Филиппийцам 4, Псалом 67
157;Псалом 68, Псалом 69, Псалом 70
158;1-я Паралипоменон 1, Псалом 71
159;1-я Паралипоменон 2, Псалом 72
160;1-я Паралипоменон 3, 1-я Паралипоменон 4
161;1-я Паралипоменон 5, Псалом 73, Псалом 74
162;1-я Паралипоменон 6
163;1-я Паралипоменон 7, 1-я Паралипоменон 8
164;1-я Паралипоменон 9, 1-я Паралипоменон 10
165;1-я Паралипоменон 11, 1-я Паралипоменон 12
